index	name
0	JAK_AR.part_barrel_01
1	JAK_AR.part_barrel_01_BonnieClyde
2	JAK_AR.part_barrel_01_a
3	JAK_AR.part_barrel_01_b
4	JAK_AR.part_barrel_01_c
5	JAK_AR.part_barrel_01_d
6	JAK_AR.part_barrel_02
7	JAK_AR.part_barrel_02_a
8	JAK_AR.part_barrel_02_b
9	JAK_AR.part_barrel_02_c
10	JAK_AR.part_barrel_02_d
11	JAK_AR.part_barrel_02_rowan
12	JAK_AR.part_barrel_02_rowdy
13	JAK_AR.part_barrel_02_screenwriterj
14	JAK_AR.part_barrel_licensed_hyp
15	JAK_AR.part_barrel_licensed_ted
16	JAK_AR.part_barrel_licensed_ted_combo
17	JAK_AR.part_barrel_licensed_ted_mirv
18	JAK_AR.part_barrel_licensed_ted_shooting
19	JAK_AR.part_body
20	JAK_AR.part_body_aT
21	JAK_AR.part_body_b
22	JAK_AR.part_body_c
23	JAK_AR.part_body_d
24	JAK_AR.part_foregrip_01
25	JAK_AR.part_foregrip_02
26	JAK_AR.part_foregrip_03
27	JAK_AR.part_grip_01
28	JAK_AR.part_grip_02
29	JAK_AR.part_grip_03
30	JAK_AR.part_grip_04_hyp
31	JAK_AR.part_grip_05a_ted_legs
32	JAK_AR.part_grip_05b_ted_homing
33	JAK_AR.part_grip_05c_ted_jav
34	JAK_AR.part_mag_01
35	JAK_AR.part_mag_02
36	JAK_AR.part_mag_03_torZ
37	JAK_AR.part_mag_04_cov
38	JAK_AR.part_mag_05_borg
39	JAK_AR.part_mag_ted_thrown_01
40	JAK_AR.part_mag_ted_thrown_02
41	JAK_AR.part_mag_ted_thrown_03_tor
42	JAK_AR.part_mag_ted_thrown_04_cov
43	JAK_AR.part_mag_ted_thrown_05_bor
44	JAK_AR.part_mag_torgue_normal
45	JAK_AR.part_mag_torgue_sticky
46	JAK_AR.part_scope_01_lens_01
47	JAK_AR.part_scope_01_lens_02
48	JAK_AR.part_scope_02_lens_01
49	JAK_AR.part_scope_02_lens_02_B02
50	JAK_AR.part_scope_02_lens_02b
51	JAK_AR.part_scope_acc_S01_L01_a
52	JAK_AR.part_scope_acc_S01_L01_b
53	JAK_AR.part_scope_acc_S01_L02_a
54	JAK_AR.part_scope_acc_S01_L02_b
55	JAK_AR.part_scope_acc_S02_L01_a
56	JAK_AR.part_scope_acc_S02_L01_b
57	JAK_AR.part_scope_acc_S02_L02_a
58	JAK_AR.part_scope_acc_S02_L02_b
59	JAK_AR.part_scope_ironsight
60	JAK_AR.part_secondary_ammo_ps
61	JAK_AR.part_secondary_ammo_sg
62	JAK_AR.part_secondary_ammo_smgx
63	JAK_AR.part_secondary_ammo_sr
64	JAK_AR.part_shield_ammo
65	JAK_AR.part_shield_amp
66	JAK_AR.part_shield_default
67	JAK_AR.part_shield_ricochet
68	JAK_AR.part_underbarrel_01_flintlockx
69	JAK_AR.part_underbarrel_02_crank
70	JAK_AR.part_underbarrel_03_shotgunl
71	JAK_AR.part_underbarrel_04_atlas_ball
72	JAK_AR.part_underbarrel_04_atlasv
73	JAK_AR.part_underbarrel_05_ammoswitcher
